property,n_samples,spearman_mean,spearman_std,ma_rae_mean,ma_rae_std
LogD,5039,0.9259532487067708,0.004669175859799564,0.34392697,0.009695072
KSOL,5128,0.7415691539073899,0.005904992018231719,0.48526725,0.013653757
HLM_CLint,3759,0.6803247817593735,0.029439529164967556,0.6397233,0.046264566
MLM_CLint,4522,0.7699694074022887,0.010860439690081948,0.6322741,0.020754186
Caco-2_Permeability_Papp_AtoB,2157,0.7633942604485728,0.011947692375252495,0.59761524,0.010880337
Caco-2_Permeability_Efflux,2161,0.643770852309639,0.018016466607994747,0.6288129,0.03025582
MPPB,1302,0.8410867599066545,0.013863008313189987,0.48104605,0.046218056
MBPB,975,0.8402167823945137,0.03397360516551872,0.5276271,0.02880725
MGMB,222,0.7944391513250515,0.09775895201830213,0.5969004,0.12128636
