target,n_samples,spearman,ma_rae
LogD,5039,0.9394024525565051,0.3077337974211757
KSOL,5128,0.7706057387293546,0.4717749143445938
HLM CLint,3759,0.7893584376411885,0.5592867897202314
MLM CLint,4522,0.8367940402261741,0.5554881392333818
Caco-2 Permeability Papp A>B,2157,0.7779589819292063,0.5628117160043421
Caco-2 Permeability Efflux,2161,0.7490936279924094,0.5384601820859867
MPPB,1302,0.8394548533157444,0.47124773694155714
MBPB,975,0.8147262868435762,0.5431886268766125
MGMB,222,0.8167571497143504,0.5614754965419091
