target,n_train,n_val,spearman,ma_rae,best_iter
LogD,4260,779,0.9053538454815757,890606.1478323713,485
KSOL,4371,757,0.6877907258586469,239643.16597002823,185
HLM CLint,3395,364,0.15250121502296354,3.0015634142010947,1
MLM CLint,3823,699,0.7596386371980528,49137082.161884174,36
Caco-2 Permeability Papp A>B,1930,227,0.5830127307533768,133506.66215679955,94
Caco-2 Permeability Efflux,1934,227,0.6844060326524444,1995899.7529764788,249
MPPB,1158,144,0.8369512362343609,17491725.455071583,290
MBPB,849,126,0.6211015607223399,27.656368446770255,225
MGMB,123,99,0.4345098660031403,9241926.73523713,22
