target,n_val,spearman,ma_rae
LogD,779,0.9142725105279425,0.3657457742642692
KSOL,757,0.6998856295153937,0.6356980955820318
HLM CLint,364,0.29646533948479437,0.8319641105629767
MLM CLint,699,0.7631501663771448,0.8689160983716974
Caco-2 Permeability Papp A>B,227,0.6240233172880273,0.7431482119702159
Caco-2 Permeability Efflux,227,0.7450233628967644,0.7776239743179423
MPPB,144,0.8653103390184891,0.5240374889308763
MBPB,126,0.6223104839570214,1.7056344735934639
MGMB,99,0.5115001175939443,0.8712470119885034
