target,n_samples,spearman,ma_rae
LogD,5039,0.9383106359552232,0.3100197806587873
KSOL,5128,0.7695684463620641,0.47004071611324144
HLM CLint,3759,0.7706973014081678,0.5914990808490614
MLM CLint,4522,0.8374269422868083,0.5571311960071569
Caco-2 Permeability Papp A>B,2157,0.7746632714417439,0.564616889906792
Caco-2 Permeability Efflux,2161,0.7495380124085509,0.5375319758975227
MPPB,1302,0.8384415384993078,0.47413690821843685
MBPB,975,0.8061499877424276,0.5509672000526498
MGMB,222,0.8084520343410043,0.5544374150298553
